Brain network from Boas2014 image stack via Amira HxSpatialGraph
610 610 660 box dimensions in microns
32 32 32 number of tissue points in x,y,z directions
10	outer bound distance
100	max. segment length
6		maximum number of segments per node
4870	total number of segments
SegName Type StartNode EndNode Diam   Flow[nl/min]    Hd
211 5 52 63 6.461233 0.000000 0.400000
213 5 87 76 6.470615 0.000000 0.400000
215 5 76 88 5.881704 0.000000 0.400000
217 5 21 89 6.718888 0.000000 0.400000
219 5 21 58 5.464334 0.000000 0.400000
221 5 45 2536 27.961924 0.000000 0.400000
222 5 2536 90 27.961924 0.000000 0.400000
224 5 45 79 31.937555 0.000000 0.400000
226 5 82 2541 6.440505 0.000000 0.400000
227 5 2541 91 6.440505 0.000000 0.400000
229 5 86 2544 11.283373 0.000000 0.400000
230 5 2544 92 11.283373 0.000000 0.400000
232 5 51 88 5.317042 0.000000 0.400000
234 5 15 93 9.862484 0.000000 0.400000
236 5 87 94 5.459499 0.000000 0.400000
238 5 95 2553 11.044888 0.000000 0.400000
239 5 2553 2554 11.044888 0.000000 0.400000
240 5 2554 96 11.044888 0.000000 0.400000
242 5 95 2557 10.565788 0.000000 0.400000
243 5 2557 97 10.565788 0.000000 0.400000
245 5 95 98 9.997948 0.000000 0.400000
247 5 22 99 6.781151 0.000000 0.400000
249 5 33 101 19.332342 0.000000 0.400000
251 5 79 5 12.064880 0.000000 0.400000
253 5 86 2568 4.199942 0.000000 0.400000
254 5 2568 2569 4.199942 0.000000 0.400000
255 5 2569 102 4.199942 0.000000 0.400000
257 5 88 103 4.965493 0.000000 0.400000
259 5 104 2574 7.201888 0.000000 0.400000
260 5 2574 105 7.201888 0.000000 0.400000
262 5 104 106 7.991002 0.000000 0.400000
264 5 104 94 7.273431 0.000000 0.400000
266 5 106 77 7.232597 0.000000 0.400000
268 5 106 94 4.000000 0.000000 0.400000
270 5 107 2585 5.557616 0.000000 0.400000
271 5 2585 2586 5.557616 0.000000 0.400000
272 5 2586 108 5.557616 0.000000 0.400000
274 5 107 109 7.404444 0.000000 0.400000
276 5 107 110 4.000000 0.000000 0.400000
278 5 109 2593 5.778349 0.000000 0.400000
279 5 2593 111 5.778349 0.000000 0.400000
281 5 71 112 5.955857 0.000000 0.400000
283 5 45 114 26.415514 0.000000 0.400000
285 5 48 73 6.785211 0.000000 0.400000
287 5 3 116 20.376608 0.000000 0.400000
289 5 41 2604 5.203223 0.000000 0.400000
290 5 2604 117 5.203223 0.000000 0.400000
292 5 41 118 5.596677 0.000000 0.400000
294 5 74 119 4.000000 0.000000 0.400000
296 5 109 110 4.000000 0.000000 0.400000
298 5 111 2613 5.188035 0.000000 0.400000
